artist,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Dance/Electronic,Folk/Acoustic,R&B,World/Traditional,blues,classical,country,easy listening,hip hop,jazz,latin,metal,pop,rock
Jamelia,215480,False,2003,69,0.801,0.645,1,-6.93,1,0.0356,0.0457,0.0,0.0357,0.824,110.01,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Linkin Park,162600,False,2003,72,0.554,0.978,4,-3.554,1,0.131,0.111,0.0,0.0731,0.594,135.095,0,0,0,0,0,0,0,0,0,0,0,1,0,1
DMX,217586,True,2007,70,0.761,0.899,10,-3.09,0,0.183,0.0135,0.0,0.0719,0.673,95.027,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Evanescence,235893,False,2003,79,0.331,0.943,4,-3.188,0,0.0698,0.00721,2.06e-06,0.242,0.296,94.612,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Sugababes,218173,False,2003,57,0.785,0.933,6,-4.629,0,0.0309,0.0303,0.0,0.137,0.962,125.011,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Craig David,287226,False,2002,59,0.405,0.589,6,-7.51,0,0.0586,0.252,0.0,0.661,0.808,83.373,0,0,1,0,0,0,0,0,1,0,0,0,1,0
Three Days Grace,231480,False,2003,72,0.498,0.83,6,-5.157,0,0.0421,0.00461,0.0,0.139,0.453,89.342,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Lil Jon & The East Side Boyz,324600,False,2002,47,0.78,0.604,1,-8.019,1,0.0396,0.022,0.0,0.194,0.12,101.043,0,0,0,0,0,0,0,0,1,0,0,0,1,0
B2K,282773,False,2003,62,0.835,0.68,1,-6.02,0,0.21,0.1,0.0,0.049,0.889,95.508,0,0,1,0,0,0,0,0,1,0,0,0,1,0
Baby Bash,239026,False,2003,73,0.662,0.748,5,-3.041,0,0.268,0.688,8.43e-06,0.0841,0.535,82.331,0,0,1,0,0,0,0,0,1,0,1,0,1,0
Aaliyah,245240,False,2002,36,0.602,0.34,10,-9.867,1,0.0375,0.618,0.0,0.234,0.511,109.598,0,0,1,0,0,0,0,0,1,0,0,0,1,0
Britney Spears,223773,False,2003,59,0.804,0.836,6,-6.635,0,0.089,0.32,0.0,0.213,0.85,120.046,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Blue,210066,False,2004,57,0.564,0.6,7,-6.814,0,0.0305,0.183,2.19e-06,0.38,0.442,78.955,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Delta Goodrem,248546,False,2003,54,0.581,0.747,7,-6.682,1,0.0283,0.0365,1.69e-06,0.193,0.514,146.301,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Justin Timberlake,267266,False,2002,76,0.892,0.714,4,-6.055,0,0.141,0.201,0.000234,0.0521,0.817,100.972,0,0,0,0,0,0,0,0,0,0,0,0,1,0
The White Stripes,231920,False,2003,3,0.741,0.469,4,-7.627,0,0.0805,0.00601,0.447,0.306,0.313,123.904,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Youngbloodz,298600,True,2003,54,0.772,0.724,6,-5.799,0,0.307,0.0149,0.0,0.355,0.518,84.038,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Beyoncé,244826,False,2003,63,0.655,0.488,1,-9.17,1,0.22,0.0825,1.16e-06,0.221,0.791,91.025,0,0,1,0,0,0,0,0,0,0,0,0,1,0
